time_s,acc_DOF3_mps2,acc_DOF4_mps2,acc_DOF5_mps2,acc_DOF6_mps2
0.77,-0.00898555,-0.01028779,-0.01233672,-0.01402043
0.775,-0.01075901,-0.00977051,-0.01172166,-0.01301853
0.78,-0.00951179,-0.01139105,-0.01259063,-0.01580179
0.785,-0.01129939,-0.01208447,-0.0145412,-0.01608927
0.79,-0.01423418,-0.01511428,-0.01648153,-0.01981844
0.795,-0.01442758,-0.01467968,-0.01653889,-0.01759245
0.8,-0.01718017,-0.01779289,-0.01689892,-0.02005187
0.805,-0.01568739,-0.02034114,-0.01850363,-0.02018974
0.81,-0.01977054,-0.02214144,-0.01934002,-0.01978659
0.815,-0.01941322,-0.02142719,-0.01966668,-0.02052223
0.82,-0.02155206,-0.02209598,-0.02020999,-0.02056663
0.825,-0.02150669,-0.02341018,-0.0216224,-0.02183698
0.83,-0.02289762,-0.02373273,-0.02071153,-0.02047806
0.835,-0.02182735,-0.02240144,-0.02045844,-0.02052002
0.84,-0.02122873,-0.01990495,-0.01920653,-0.01770084
0.845,-0.0207154,-0.02119952,-0.01785855,-0.01776227
0.85,-0.01888329,-0.01879854,-0.01658469,-0.01411193
0.855,-0.01710371,-0.01691451,-0.01414746,-0.01233732
0.86,-0.01473659,-0.01326695,-0.01080294,-0.00859928
0.865,-0.01189406,-0.01164249,-0.00933279,-0.0092319
0.87,-0.01041526,-0.00716246,-0.0074079,-0.00546432
0.875,-0.00910747,-0.00573582,-0.0054131,-0.00288585
0.88,-0.0067463,-0.00608428,-0.00329044,-0.00216393
0.885,-0.00541316,-0.00374035,0.000335,0.00122162
0.89,-0.00309246,-0.00244272,0.00058826,0.0017976
0.895,-0.00123785,-0.00106871,0.0026658,0.00265145
0.9,-0.00182238,-0.00075727,0.00147033,0.00242882
0.905,-0.00290799,-0.00179664,0.00080191,0.00258296
0.91,-0.00168162,-0.00098629,0.00126693,0.00458999
0.915,-0.00189133,-0.0024182,0.00130196,0.00332663
0.92,-0.0033726,-0.00254522,0.00050617,0.00169067
0.925,-0.00385043,-0.00189502,-0.0003225,0.00054703
0.93,-0.00666385,-0.00329973,-0.00178659,-6.136e-05
0.935,-0.00560552,-0.00372385,-0.00359625,8.259e-05
0.94,-0.00632074,-0.00480857,-0.0031554,0.00072488
0.945,-0.00674105,-0.00554497,-0.00527709,-0.00219687
0.95,-0.00695069,-0.00693247,-0.00401201,-0.00194906
0.955,-0.00657383,-0.00704467,-0.00389437,-0.00215536
0.96,-0.00694426,-0.004659,-0.00233391,-0.0003027
0.965,-0.00361322,-0.00406115,-0.00192028,-0.00066837
0.97,-0.00524507,-0.00408858,-0.00141758,-3.186e-05
0.975,-0.00514231,-0.00166986,-0.0004081,0.00223353
0.98,-0.00264977,0.00022876,0.00317823,0.00415583
0.985,-0.00108686,0.00103601,0.00365365,0.00492491
0.99,0.00062457,0.00428699,0.0054811,0.00661576
0.995,0.00286153,0.00475248,0.00641873,0.00905252
1.0,0.00392049,0.00593267,0.00928537,0.00973821
1.005,0.00725838,0.00682935,0.01054762,0.0122775
1.01,0.00764329,0.00975451,0.01233396,0.01290348
1.015,0.00818515,0.01035378,0.01458245,0.01319563
1.02,0.01077022,0.01092096,0.01410559,0.01621412
1.025,0.00947109,0.01178289,0.01524536,0.01698978
1.03,0.01100622,0.01520538,0.01476471,0.01668581
1.035,0.0136952,0.01341478,0.0172497,0.01594199
1.04,0.0131169,0.01440713,0.0183825,0.01701182
1.045,0.01486457,0.01658166,0.01606073,0.01811306
1.05,0.01448019,0.014293,0.01652915,0.01746864
1.055,0.01338391,0.01545441,0.01723588,0.01804337
1.06,0.01710467,0.0172633,0.01707518,0.01839059
1.065,0.01596712,0.01863303,0.01662575,0.01891316
1.07,0.01727035,0.02009798,0.01810947,0.01754073
1.075,0.01792478,0.0196629,0.01765358,0.01799981
1.08,0.02003481,0.01863737,0.01815881,0.01774774
1.085,0.01873741,0.01907115,0.01911097,0.01654833
1.09,0.0203604,0.01991774,0.01915889,0.01775226
1.095,0.01798519,0.01872074,0.0188717,0.01700609
1.1,0.01885593,0.02067416,0.01910278,0.01494205
1.105,0.01915324,0.01878018,0.01847096,0.0130386
1.11,0.01891157,0.01667229,0.01569433,0.01342773
1.115,0.01856676,0.01750967,0.0136423,0.01108097
1.12,0.01780104,0.01421347,0.01097295,0.0111886
1.125,0.01314543,0.01146024,0.01103612,0.00621732
1.13,0.01222536,0.00983846,0.00814003,0.00590331
1.135,0.00749247,0.00669552,0.0059319,0.00397713
1.14,0.00697698,0.0036563,0.00311556,0.00048776
1.145,0.00428226,0.00377653,0.00166002,-0.0022375
1.15,0.00313935,0.00207038,-0.00024451,-0.00266567
1.155,0.00179135,-0.00117291,-2.526e-05,-0.00381022
1.16,-0.00022601,-0.0029723,-0.00479829,-0.00564136
1.165,0.00092947,-0.00243677,-0.00400342,-0.0066998
1.17,0.00104151,4.716e-05,-0.00677915,-0.0063166
1.175,9.072e-05,-0.00164638,-0.00447179,-0.0062939
